date,spec,ukr_cpi_yoy_actual,ukr_cpi_yoy_counterfactual,ukr_ip_yoy_actual,ukr_ip_yoy_counterfactual,inflation_gap
2012-10-01,baseline_no_fx_lag6,-0.0027011732761539,0.424759006485093,-2.871621621621623,-0.9059821714090961,-0.4274601797612469
2012-11-01,baseline_no_fx_lag6,-0.2024959761267375,0.1576554390188194,-2.526132404181181,-0.43819057067273515,-0.36015141514555693
2012-12-01,baseline_no_fx_lag6,-0.2024959761267264,0.14891655107375934,-5.686789151356075,-4.258683477075321,-0.35141252720048577
2013-01-01,baseline_no_fx_lag6,-0.2024959761267042,0.1434199601039956,-3.3502538071065957,-2.7382980346237793,-0.3459159362306998
2013-02-01,baseline_no_fx_lag6,-0.5012908983538678,-0.0453069959107637,-5.688622754491024,-5.87412458173867,-0.45598390244310405
2013-03-01,baseline_no_fx_lag6,-0.7988942157067469,-0.4131445439171718,-4.623753399818675,-4.96388832007301,-0.3857496717895751
2013-04-01,baseline_no_fx_lag6,-0.7988942157067469,-0.665947992258922,-1.992409867172684,-2.294292680497534,-0.13294622344782492
2013-05-01,baseline_no_fx_lag6,-0.4008957973143934,-0.13860121208888698,-8.921933085501854,-8.88018172298995,-0.2622945852255064
2013-06-01,baseline_no_fx_lag6,-0.1011993955008949,0.19614757965998297,-5.508072174738842,-5.841167651932357,-0.2973469751608779
2013-07-01,baseline_no_fx_lag6,-0.0011003968992007,0.5236808200074283,-4.280510018214933,-5.152615760364331,-0.524781216906629
2013-08-01,baseline_no_fx_lag6,-0.4022995928995909,0.31581770135870735,-4.380242311276794,-5.201433476593154,-0.7181172942582983
2013-09-01,baseline_no_fx_lag6,-0.501797795104475,0.2725490216486707,-4.748603351955316,-5.401580736774887,-0.7743468167531457
2013-10-01,baseline_no_fx_lag6,-0.1038049862848944,0.5044689644937191,-4.347826086956519,-4.134838891170879,-0.6082739507786136
2013-11-01,baseline_no_fx_lag6,0.1961835873298456,0.6994550504388534,-3.753351206434319,-4.230299987887614,-0.5032714631090078
