date,UKR_CPI_MOM_INDEX,UKR_CPI_LEVEL,UKR_CPI_YOY,AT,BE,DE,ES,FI,FR,GR,IE,IT,NL,PT,EA_HICP_YOY,UKR_IP_LEVEL,UKR_IP_YOY,EA_IP_LEVEL,EA_IP_YOY,UAH_USD,log_uah_usd,dlog_uah_usd,UAH_EUR,log_uah_eur,dlog_uah_eur,NBU_POLICY_RATE,ECB_REFI_RATE,OIL_PRICE,WHEAT_PRICE,dlog_oil,dlog_wheat,CRISIS_0809,CRISIS_1415,WAR_2022PLUS,POST_2016_IT
2011-07-01,98.7,363.175569799933,10.635563482376643,3.8,4.0,2.6,3.0,3.7,2.1,2.1,1.0,2.1,3.2,3.0,2.781818181818182,128.9,9.144792548687564,100.3,3.402061855670091,7.971203225806452,2.0758354507683063,-0.0002567380863807145,11.378535774193548,2.4317287538288523,-0.007790693475540511,7.75,1.5,107.91661111111,303.88392977625,0.01937875530032862,-0.07156949517703204,0,0,0,0
2011-08-01,99.6,361.72286752073325,8.886384613090037,3.7,3.4,2.5,2.7,3.5,2.4,1.4,1.0,2.3,3.2,2.8,2.627272727272727,131.1,10.35353535353536,99.9,1.9387755102040938,7.971122580645161,2.0758253336546217,-1.0117113684593448e-05,11.417064967741934,2.4351091631169886,0.0033804092881362102,7.75,1.5,100.48642512077,327.06658952609,-0.07133616459426051,0.07351796930867849,0,0,0,0
2011-09-01,100.1,362.08459038825396,5.923489793686221,3.9,3.2,2.8,3.0,3.5,2.4,2.9,1.4,3.7,3.0,3.5,3.027272727272727,133.4,8.19140308191404,99.1,1.3292433537832382,7.97283,2.076039511331422,0.00021417767680009803,11.029886433333333,2.400608537050423,-0.034500626066565676,7.75,1.5,100.81935064935,315.91622907614,0.003307662990205351,-0.03468670727843115,0,0,0,0
2011-10-01,100.0,362.08459038825396,5.396507257399241,3.8,3.2,2.8,3.0,3.2,2.5,2.9,1.6,3.7,2.8,4.0,3.0454545454545454,140.9,7.475209763539281,98.4,-0.4048582995951344,7.974674193548387,2.076270794362826,0.00023128303140396156,10.913688032258063,2.390017784175375,-0.010590752875047738,7.75,1.5,99.84775396825,289.01083578214,-0.009683742390683037,-0.0890128991165513,0,0,0,0
2011-11-01,100.1,362.4466749786422,5.186344730465242,3.8,3.5,2.7,2.9,3.2,2.7,2.8,1.8,3.7,2.6,3.8,3.0454545454545454,136.7,6.21600621600622,99.1,0.2022244691607611,7.9839199999999995,2.0774295189188816,0.0011587245560558124,10.839254533333333,2.383174223659036,-0.006843560516339053,7.75,1.25,105.40501443001,281.0064022425,0.05416364466264145,-0.028086728610056788,0,0,0,0
2011-12-01,100.2,363.17156832859945,4.560235535641044,3.4,3.2,2.2,2.3,2.6,2.7,2.2,1.5,3.7,2.5,3.5,2.709090909090909,136.1,3.340926347760065,98.5,0.10162601626015899,7.989751612903226,2.0781596720488102,0.0007301531299286346,10.544438032258066,2.3555985201690732,-0.027575703489962855,7.75,1.0,104.23047619048,269.0300071375,-0.011205645821219967,-0.04355452877778987,0,0,0,0
2012-01-01,100.2,363.89791146525664,3.732035650210208,2.9,3.3,2.4,2.0,3.0,2.6,2.1,1.2,3.4,2.9,3.3,2.645454545454545,117.4,2.443280977312412,97.9,-1.7068273092369357,7.989793548387096,2.0781649206943067,5.248645496447324e-06,10.301421032258064,2.332281850016291,-0.02331667015278205,7.75,1.0,107.07457226399,274.89317414625,0.026920964369034905,0.021559640469805075,0,0,0,0
2012-02-01,100.2,364.62570728818713,3.0123882274634584,2.6,3.4,2.6,1.9,3.0,2.5,1.7,1.5,3.5,2.9,3.5,2.645454545454545,119.4,3.019844693701468,96.4,-4.174950298210723,7.988448275862068,2.0779965326397254,-0.00016838805458130324,10.543837965517241,2.355541610183539,0.023259760167247734,7.75,1.0,112.68752380952,277.7729592825,0.05109318349084635,0.01042152223926518,0,0,0,0
2012-03-01,100.3,365.71958441005165,1.8948968364357333,2.6,3.1,2.3,1.8,2.9,2.6,1.3,2.2,3.8,2.9,3.1,2.6,131.4,0.1524390243902607,98.1,-2.193419740777669,7.9862419354838705,2.077720303133796,-0.00027622950592931517,10.532620774193548,2.3544771816169265,-0.0010644285666123743,7.67741935483871,1.0,117.785,283.87825408636,0.04424221639302495,0.021741376669343282,0,0,0,0
2012-04-01,100.0,365.71958441005165,0.5872624249118719,2.3,2.9,2.2,2.0,3.0,2.4,1.5,1.8,3.7,2.8,2.9,2.4999999999999996,125.6,1.1272141706924144,97.1,-2.9000000000000026,7.98672,2.0777801623531698,5.985921937368133e-05,10.511168366666668,2.352438345852655,-0.0020388357642713295,7.5,1.0,113.6655,266.32392179211,-0.03560100401145583,-0.0638321444335812,0,0,0,0
2012-05-01,99.7,364.6224256568215,-0.510416034090122,2.2,2.6,2.1,1.9,3.1,2.3,0.9,1.8,3.6,2.5,2.7,2.3363636363636364,128.1,2.8089887640449396,97.7,-2.882703777335971,7.990777419354838,2.0782880540880972,0.0005078917349274903,10.265236774193548,2.3287631163708338,-0.023675229481821436,7.5,1.0,104.0860342556,264.35872401848,-0.08804211501877113,-0.0074063351132718225,0,0,0,0
2012-06-01,99.7,363.52855837985106,-1.2040685119400818,2.2,2.2,1.9,1.8,2.9,2.3,1.0,1.8,3.7,2.5,2.7,2.272727272727273,125.4,-0.15923566878980333,97.0,-1.8218623481781382,7.992499999999999,2.0785036019518595,0.00021554786376221102,10.011885266666667,2.3037729139220313,-0.024990202448802457,7.5,1.0,90.72825396825,276.1899195,-0.13734899087842134,0.043781759296498635,0,0,0,0
2012-07-01,99.8,362.8015012630914,-0.10299936668307641,2.1,2.0,1.9,2.2,3.1,2.2,0.9,2.0,3.6,2.6,2.8,2.309090909090909,130.9,1.5515903801396336,97.4,-2.891326021934193,7.992870967741935,2.078550015356059,4.6413404199530106e-05,9.829140451612902,2.2853514889943427,-0.018421424927688612,7.5,0.75,96.75411255411,345.68794675714,0.06430401928979723,0.22444773692130493,0,0,0,0
2012-08-01,99.7,361.71309675930206,-0.002701173276142832,2.3,2.6,2.3,2.7,3.3,2.4,1.1,2.6,3.4,2.6,3.1,2.581818181818182,127.8,-2.517162471395884,97.9,-2.0020020020020013,7.993,2.078566158643882,1.6143287822956154e-05,9.889687322580645,2.291492529622266,0.0061410406279232,7.5,0.75,105.27363699103,349.40035068261,0.08439018880979532,0.01068192124343259,0,0,0,0
2012-09-01,100.1,362.07480985606134,-0.002701173276153934,2.8,2.6,2.2,3.5,3.4,2.2,0.3,2.5,3.4,2.5,2.9,2.5727272727272728,128.0,-4.047976011994003,96.5,-2.6236125126135157,7.993,2.078566158643882,0.0,10.247958466666667,2.327078511762905,0.03558598214063924,7.5,0.75,106.28496491228,353.42092377237,0.009560808360904005,0.011441363815129613,0,0,0,0
2012-10-01,100.0,362.07480985606134,-0.002701173276153934,2.9,2.7,2.1,3.5,3.5,2.1,0.9,2.0,2.8,3.3,2.1,2.5363636363636366,137.0,-2.76792051100071,95.5,-2.9471544715447218,7.993,2.078566158643882,0.0,10.372928580645162,2.339199391305499,0.012120879542593777,7.5,0.75,103.40786561265,358.195666995,-0.02744280626041018,0.013419627759931885,0,0,0,0
2012-11-01,99.9,361.7127350462053,-0.20249597612673753,2.9,2.2,1.9,3.0,3.2,1.6,0.4,1.5,2.6,3.2,1.9,2.2181818181818183,133.4,-2.4140453547915053,94.9,-4.238143289606445,7.993,2.078566158643882,0.0,10.256004966666667,2.327863384447568,-0.011336006857931125,7.5,0.75,101.17441558442,360.8228394,-0.02183511447521891,0.0073076953459985106,0,0,0,0
2012-12-01,100.2,362.4361605162977,-0.20249597612672643,2.9,2.1,2.1,3.0,3.4,1.5,0.3,1.7,2.6,3.4,2.1,2.2818181818181817,128.6,-5.51065393093314,95.2,-3.3502538071065957,7.993,2.078566158643882,0.0,10.484753354838709,2.3499221404566653,0.022058756009097458,7.5,0.75,101.19366666667,347.9625549,0.00019025808906203423,-0.03629221516838754,0,0,0,0
2013-01-01,100.2,363.16103283733037,-0.20249597612670422,2.8,1.5,1.9,2.8,2.6,1.4,0.0,1.5,2.4,3.2,0.4,1.8636363636363633,113.6,-3.236797274275993,94.4,-3.5750766087844776,7.993,2.078566158643882,0.0,10.597196806451613,2.360589513922821,0.010667373466155539,7.5,0.75,105.10021645022,335.4697071,0.03787816480020201,-0.03656321259111017,0,0,0,0
2013-02-01,99.9,362.797871804493,-0.5012908983538678,2.6,1.5,1.8,2.9,2.4,1.2,0.1,1.2,2.0,3.2,0.2,1.736363636363636,112.7,-5.611390284757123,94.7,-1.763485477178428,7.993,2.078566158643882,0.0,10.699772392857144,2.370222469546021,0.00963295562319999,7.5,0.75,107.63743567252,318.9350556,0.023854165041300668,-0.05054416593461841,0,0,0,0
