date,UKR_IP_YOY,UKR_CPI_YOY,EA_IP_YOY,EA_HICP_YOY,dlog_uah_usd,dlog_uah_eur,dlog_oil,dlog_wheat,NBU_POLICY_RATE,ECB_REFI_RATE,CRISIS_0809,CRISIS_1415,WAR_2022PLUS,POST_2016_IT
2011-12-01,3.340926347760065,4.560235535641044,0.10162601626015899,2.709090909090909,0.0007301531299286346,-0.027575703489962855,-0.011205645821219967,-0.04355452877778987,7.75,1.0,0,0,0,0
2012-01-01,2.443280977312412,3.732035650210208,-1.7068273092369357,2.645454545454545,5.248645496447324e-06,-0.02331667015278205,0.026920964369034905,0.021559640469805075,7.75,1.0,0,0,0,0
2012-02-01,3.019844693701468,3.0123882274634584,-4.174950298210723,2.645454545454545,-0.00016838805458130324,0.023259760167247734,0.05109318349084635,0.01042152223926518,7.75,1.0,0,0,0,0
2012-03-01,0.1524390243902607,1.8948968364357333,-2.193419740777669,2.6,-0.00027622950592931517,-0.0010644285666123743,0.04424221639302495,0.021741376669343282,7.67741935483871,1.0,0,0,0,0
2012-04-01,1.1272141706924144,0.5872624249118719,-2.9000000000000026,2.4999999999999996,5.985921937368133e-05,-0.0020388357642713295,-0.03560100401145583,-0.0638321444335812,7.5,1.0,0,0,0,0
2012-05-01,2.8089887640449396,-0.510416034090122,-2.882703777335971,2.3363636363636364,0.0005078917349274903,-0.023675229481821436,-0.08804211501877113,-0.0074063351132718225,7.5,1.0,0,0,0,0
2012-06-01,-0.15923566878980333,-1.2040685119400818,-1.8218623481781382,2.272727272727273,0.00021554786376221102,-0.024990202448802457,-0.13734899087842134,0.043781759296498635,7.5,1.0,0,0,0,0
2012-07-01,1.5515903801396336,-0.10299936668307641,-2.891326021934193,2.309090909090909,4.6413404199530106e-05,-0.018421424927688612,0.06430401928979723,0.22444773692130493,7.5,0.75,0,0,0,0
2012-08-01,-2.517162471395884,-0.002701173276142832,-2.0020020020020013,2.581818181818182,1.6143287822956154e-05,0.0061410406279232,0.08439018880979532,0.01068192124343259,7.5,0.75,0,0,0,0
2012-09-01,-4.047976011994003,-0.002701173276153934,-2.6236125126135157,2.5727272727272728,0.0,0.03558598214063924,0.009560808360904005,0.011441363815129613,7.5,0.75,0,0,0,0
2012-10-01,-2.76792051100071,-0.002701173276153934,-2.9471544715447218,2.5363636363636366,0.0,0.012120879542593777,-0.02744280626041018,0.013419627759931885,7.5,0.75,0,0,0,0
